numb,RegionName2,Date,Incident_Rate,Mortality_Rate,mean_sickness,mean_death
35,DE,2020-05-17T07:00:00Z,775.033786420529,3.7895852656684776,1214.7849534635843,3.6577354238234148
36,DE,2020-05-18T07:00:00Z,787.6651837611578,3.7809647979139505,1214.7849534635843,3.6577354238234148
37,DE,2020-05-19T07:00:00Z,808.1013469382725,3.7743042317956537,1214.7849534635843,3.6577354238234148
38,DE,2020-05-20T07:00:00Z,825.3539872083995,3.7825059101654848,1214.7849534635843,3.6577354238234148
39,DE,2020-05-21T07:00:00Z,841.4769903179825,3.7832560410056137,1214.7849534635843,3.6577354238234148
40,DE,2020-05-22T07:00:00Z,861.1942934838421,3.780109706653947,1214.7849534635843,3.6577354238234148
41,DE,2020-05-23T07:00:00Z,875.8795765709145,3.7753546722945246,1214.7849534635843,3.6577354238234148
42,DE,2020-05-24T07:00:00Z,875.8795765709145,3.7753546722945246,1214.7849534635843,3.6577354238234148
43,DE,2020-05-25T07:00:00Z,904.6339770211263,3.700760585764559,1214.7849534635843,3.6577354238234148
44,DE,2020-05-26T07:00:00Z,920.6542858433871,3.7032905744562186,1214.7849534635843,3.6577354238234148
45,DE,2020-05-27T07:00:00Z,931.0264088629277,3.6951246415177588,1214.7849534635843,3.6577354238234148
46,DE,2020-05-28T07:00:00Z,934.1072374825933,3.781882145998241,1214.7849534635843,3.6577354238234148
47,DE,2020-05-29T07:00:00Z,941.8093090317572,3.7618580307491003,1214.7849534635843,3.6577354238234148
48,DE,2020-05-30T07:00:00Z,948.4844377076992,3.854482459939368,1214.7849534635843,3.6577354238234148
49,DE,2020-05-31T07:00:00Z,967.5855751496256,3.8314582891105924,1214.7849534635843,3.6577354238234148
50,DE,2020-06-01T07:00:00Z,975.3903409861116,3.8534428300694885,1214.7849534635843,3.6577354238234148
51,DE,2020-06-02T07:00:00Z,986.3786297295854,3.831337844872462,1214.7849534635843,3.6577354238234148
52,DE,2020-06-03T07:00:00Z,994.5941727153602,3.851316468766133,1214.7849534635843,3.6577354238234148
53,DE,2020-06-04T07:00:00Z,997.3669184730592,3.8612026359143328,1214.7849534635843,3.6577354238234148
54,DE,2020-06-05T07:00:00Z,1000.8585242420135,3.9605992201928997,1214.7849534635843,3.6577354238234148
