app,open,duration,sec
Messenger Lite,1/25/2018 15:10,43s,43
Firefox,1/25/2018 15:11,9s,9
Messages,1/25/2018 15:11,5s,5
Messenger Lite,1/25/2018 15:11,1s,1
Messenger Lite,1/25/2018 15:21,1m 5s,65
Messenger Lite,1/25/2018 15:22,2s,2
Instagram,1/25/2018 15:22,21s,21
Instagram,1/25/2018 15:22,13s,13
The Weather Channel,1/25/2018 15:23,1s,1
The Weather Channel,1/25/2018 15:23,11s,11
The Weather Channel,1/25/2018 15:23,14s,14
The Weather Channel,1/25/2018 15:23,19s,19
Instagram,1/25/2018 15:24,3s,3
Instagram,1/25/2018 15:24,4s,4
Software update,1/25/2018 15:24,4s,4
Instagram,1/25/2018 15:24,2s,2
Instagram,1/25/2018 15:24,5s,5
Instagram,1/25/2018 15:24,5s,5
Instagram,1/25/2018 16:03,5s,5
Clock,1/25/2018 16:04,13m ,780
Instagram,1/25/2018 16:17,7s,7
Instagram,1/25/2018 16:17,5s,5
Messages,1/25/2018 16:17,16s,16
Instagram,1/25/2018 16:17,2s,2
Clock,1/25/2018 16:30,1m ,60
Messages,1/25/2018 16:31,11s,11
Clock,1/25/2018 16:31,2s,2
Clock,1/25/2018 16:31,1m 36s,96
Instagram,1/25/2018 16:33,5s,5
Messages,1/25/2018 16:33,1m 21s,81
Gmail,1/25/2018 16:34,23s,23
Instagram,1/25/2018 16:35,8s,8
Instagram,1/25/2018 16:35,1s,1
Instagram,1/25/2018 16:35,26s,26
Messages,1/25/2018 16:37,15s,15
Clock,1/25/2018 16:44,9s,9
Gmail,1/25/2018 16:51,3s,3
Gmail,1/25/2018 16:51,1s,1
Messages,1/25/2018 16:51,5s,5
Messages,1/25/2018 16:55,1m 8s,68
Instagram,1/25/2018 16:57,1s,1
Instagram,1/25/2018 16:57,53s,53
Messages,1/25/2018 16:59,2m ,120
Messages,1/25/2018 17:01,16s,16
Messages,1/25/2018 17:02,43s,43
Instagram,1/25/2018 17:15,27s,27
Messages,1/25/2018 17:23,7s,7
Instagram,1/25/2018 17:23,3s,3
Instagram,1/25/2018 17:23,1s,1
Gmail,1/25/2018 17:30,7s,7
Gmail,1/25/2018 17:31,4s,4
Messages,1/25/2018 18:00,2s,2
Messages,1/25/2018 18:01,1s,1
Instagram,1/25/2018 18:01,1m 32s,92
Gmail,1/25/2018 18:10,1m 2s,62
Gmail,1/25/2018 18:32,1m 2s,62
Gmail,1/25/2018 18:33,1s,1
Messages,1/25/2018 18:34,13s,13
Messages,1/25/2018 18:34,1s,1
Camera,1/25/2018 18:34,8s,8
Gallery,1/25/2018 18:34,3s,3
Android System,1/25/2018 18:36,4s,4
Gallery,1/25/2018 18:36,2s,2
Gallery,1/25/2018 18:36,12s,12
Android System,1/25/2018 18:36,6s,6
Gmail,1/25/2018 18:36,31s,31
Gallery,1/25/2018 18:41,1s,1
Gmail,1/25/2018 18:41,8s,8
Gmail,1/25/2018 18:44,12s,12
Gmail,1/25/2018 18:45,5s,5
Gmail,1/25/2018 18:45,2s,2
Gmail,1/25/2018 18:45,3s,3
Gmail,1/25/2018 18:45,26s,26
Gmail,1/25/2018 18:46,6s,6
Gmail,1/25/2018 18:55,1s,1
Messages,1/25/2018 18:55,1m 6s,66
Instagram,1/25/2018 18:57,3m 16s,196
Messages,1/25/2018 19:00,1s,1
Messages,1/25/2018 19:00,34s,34
Messages,1/25/2018 19:00,1s,1
Messages,1/25/2018 19:03,32s,32
Messages,1/25/2018 19:04,1s,1
Messenger Lite,1/25/2018 19:07,1m 22s,82
Messenger Lite,1/25/2018 19:09,2s,2
Instagram,1/25/2018 19:09,8s,8
Messages,1/25/2018 19:09,47s,47
Instagram,1/25/2018 19:10,20s,20
Messages,1/25/2018 19:10,3s,3
Messages,1/25/2018 19:13,26s,26
Messages,1/25/2018 19:13,1m 23s,83
Messages,1/25/2018 19:15,1s,1
Firefox,1/25/2018 19:15,1m 15s,75
Instagram,1/25/2018 19:16,1m 9s,69
System UI,1/25/2018 19:20,1s,1
Snapchat,1/25/2018 19:22,47s,47
Snapchat,1/25/2018 19:23,29s,29
Messages,1/25/2018 19:23,6s,6
Instagram,1/25/2018 19:23,13s,13
Messages,1/25/2018 19:24,2s,2
Messages,1/25/2018 19:26,15s,15
Messages,1/25/2018 19:27,22s,22
Messages,1/25/2018 19:27,1m 3s,63
Instagram,1/25/2018 19:29,18s,18
Messages,1/25/2018 19:29,4s,4
Messages,1/25/2018 19:29,13s,13
Messages,1/25/2018 19:33,13s,13
Instagram,1/25/2018 19:37,9s,9
Instagram,1/25/2018 19:37,5s,5
Instagram,1/25/2018 20:06,9s,9
Instagram,1/25/2018 20:11,11s,11
Instagram,1/25/2018 20:11,3s,3
Instagram,1/25/2018 21:02,10s,10
Gmail,1/25/2018 21:02,33s,33
Instagram,1/25/2018 21:03,6s,6
Instagram,1/25/2018 21:03,4s,4
Instagram,1/25/2018 21:05,2s,2
Netflix,1/25/2018 21:05,10s,10
Netflix,1/25/2018 21:05,13m 29s,809
Gmail,1/26/2018 5:58,20s,20
Gmail,1/26/2018 5:59,47s,47
Instagram,1/26/2018 6:00,15s,15
Messages,1/26/2018 6:00,11s,11
Messages,1/26/2018 7:08,7s,7
Instagram,1/26/2018 7:08,6s,6
Instagram,1/26/2018 7:08,3s,3
Instagram,1/26/2018 7:08,17s,17
Instagram,1/26/2018 7:08,2s,2
Gmail,1/26/2018 7:08,4s,4
Instagram,1/26/2018 7:13,13s,13
Twitter,1/26/2018 7:13,48s,48
Twitter,1/26/2018 7:14,9s,9
Twitter,1/26/2018 7:14,13s,13
Twitter,1/26/2018 7:14,20s,20
Twitter,1/26/2018 7:15,1s,1
App Usage Tracker,1/26/2018 7:15,2s,2
Gmail,1/26/2018 7:23,27s,27
Gmail,1/26/2018 7:24,5s,5
Gmail,1/26/2018 7:24,1m 32s,92
Messages,1/26/2018 7:25,1s,1
Messages,1/26/2018 7:25,7s,7
Keep,1/26/2018 7:26,11s,11
Instagram,1/26/2018 7:26,22s,22
Messages,1/26/2018 7:27,29s,29
Instagram,1/26/2018 7:35,1m 42s,102
Messenger Lite,1/26/2018 7:40,3s,3
Gmail,1/26/2018 7:46,1m ,60
Pandora,1/26/2018 7:47,2s,2
Pandora,1/26/2018 8:03,1m 6s,66
Instagram,1/26/2018 8:05,12s,12
